nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,GE10,LC_H,PPS,SK	13.27 	12.89 	12.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,UK	28.84 	29.07 	29.34 	28.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,AT	5136 	4892 	4880 	4662 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,BG	822 	749 	680 	615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,CZ	1861 	1736 	1556 	1694 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,DE	5354 	5099 	5058 	4822 	4602 	4515 	4570 	4327 	4287 	4286 	4474 	4323 	4092 	4025 	4044 	3965 
B,GE10,LC_M,EUR,DK	7595 	6980 	6107 	5779 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,EL	: 	: 	3233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,ES	3742 	3683 	3369 	3337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,FI	4721 	4377 	4520 	4477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,FR	4776 	4556 	4403 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,HR	1837 p	1592 p	1818 p	1853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,HU	1342 	1210 	1301 	1339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,IE	4436 	4768 	4955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,LT	988 	988 	1055 	1118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,LV	930 	926 	916 	945 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,MT	: 	: 	963 	918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,NL	9861 	8576 	8292 	8608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,PL	2084 	1878 	1696 	1885 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,PT	1938 	1906 	1727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,RO	1227 	1175 	1424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,SE	6126 	5508 	4688 	5014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
