nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C-E,NAC,MT	: 	1418.1 	1380.0 	1310.2 	1256.3 	1249.3 	1190.4 	: 	: 	: 	: 	: 	: 	: 
C-E,NAC,NL	: 	: 	: 	4111.0 	4048.0 	3896.0 	3701.0 	3492.0 	3313.0 	3183.0 	3071.1 	2947.5 	3048.8 	: 
C-E,NAC,PL	: 	3693.7 	3401.3 	3225.4 	3083.0 	2986.2 	2924.2 	2813.5 	2633.5 	2472.6 	2166.3 	1892.2 	1547.7 	: 
C-E,NAC,PT	1450.1 	1397.0 	1359.5 	1315.2 	1271.0 	1201.9 	1136.5 	1074.7 	1022.3 	997.1 	961.9 	927.9 	895.1 	: 
C-E,NAC,RO	: 	1721.0 	1478.0 	1314.0 	1111.0 	919.8 	785.6 	641.5 	441.2 	294.9 	194.9 	128.2 	63.8 	: 
C-E,NAC,SE	: 	44229.0 	42067.0 	41718.0 	40460.0 	38633.0 	36846.0 	35593.0 	34015.0 	31650.0 	30806.0 	29513.0 	28173.0 	26159.0 
C-E,NAC,SI	: 	1670.0 	1574.4 	1503.8 	1416.2 	1354.4 	1262.7 	1150.2 	1029.5 	1020.6 	930.0 	832.6 	730.3 	639.7 
C-E,NAC,SK	: 	1020.8 	933.6 	862.5 	842.8 	762.0 	703.2 	645.4 	603.5 	553.8 	523.1 	487.2 	411.8 	: 
C-E,NAC,UK	: 	2887.0 	2821.0 	2730.0 	2632.4 	2529.6 	2455.0 	2370.0 	2267.0 	2162.0 	2075.0 	1971.0 	1878.0 	: 
C-E,PPS,AT	4040.8 	4129.3 	4040.0 	3923.4 	3791.6 	3716.8 	3628.4 	3495.9 	3518.7 	3360.7 	3241.0 	3133.3 	3044.9 	: 
C-E,PPS,BE	4316.8 	4319.3 	4085.4 	4017.6 	3950.5 	3864.2 	4053.9 	3803.8 	3662.0 	: 	: 	: 	: 	: 
C-E,PPS,BG	: 	633.8 	561.9 	554.0 	546.1 	529.2 	507.5 	493.5 	496.9 	: 	: 	: 	: 	: 
C-E,PPS,CY	2515.9 	2392.2 	2247.8 	2148.4 	2010.0 	1927.9 	1859.1 	1773.7 	1731.7 	1615.1 	1574.1 	1529.8 	1426.2 	: 
C-E,PPS,CZ	: 	1709.8 	1590.0 	1514.3 	1426.3 	1351.1 	1269.2 	1228.4 	1144.5 	1058.4 	997.2 	962.7 	909.4 	807.1 
C-E,PPS,DE	: 	4283.4 	4197.9 	4007.9 	3927.8 	3769.8 	3644.4 	3561.9 	3476.7 	3291.6 	3176.0 	3075.6 	2877.4 	: 
C-E,PPS,DK	: 	3398.4 	3235.7 	3070.8 	2974.9 	2877.5 	2910.9 	2750.9 	2739.2 b	2607.0 	2506.9 	2393.4 	: 	: 
C-E,PPS,EE	1379.4 	1286.1 	1142.3 	1039.8 	954.5 	898.3 	850.6 	762.4 	731.5 	661.1 	660.4 	625.3 	548.5 	: 
C-E,PPS,EL	: 	: 	: 	: 	: 	2402.1 	2394.5 	2185.8 	2012.1 	1871.8 	1780.2 	1747.1 	1689.9 	1657.9 
C-E,PPS,ES	: 	2827.9 	2773.6 	2695.1 	2623.9 	2609.5 	2602.1 	2462.9 b	2597.4 	2559.4 	2539.5 	2515.3 	2503.7 	: 
C-E,PPS,FI	3471.6 	3354.2 	3202.9 	3092.6 	2922.2 	2811.7 	2758.9 	2418.9 	2470.8 	2348.7 	2246.5 	2213.6 	2174.5 	: 
C-E,PPS,FR	3843.5 	3838.7 	3704.2 	3603.4 	3446.1 	3268.2 	3386.0 	3319.8 	3175.5 	3036.5 	2915.3 	2823.8 	2851.2 	: 
C-E,PPS,HU	: 	1574.5 	1529.7 	1436.4 	1367.0 	1288.9 	1260.7 	1152.7 	1112.1 	1025.2 	1000.2 	1013.0 	970.6 	: 
C-E,PPS,IE	: 	: 	2938.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,PPS,IT	: 	: 	: 	: 	: 	: 	2752.9 	2753.4 	: 	: 	: 	: 	: 	: 
C-E,PPS,LT	: 	1240.4 	1066.1 	964.2 	869.2 	908.4 	848.5 	797.6 	749.8 	728.4 	671.4 	623.7 	532.6 	: 
C-E,PPS,LU	3940.8 	3934.0 	3939.5 	3807.5 	3978.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,PPS,LV	1071.7 	1001.7 	853.7 	747.5 	681.5 	649.8 	631.4 	594.0 	581.7 	567.1 	545.2 	541.5 	: 	: 
C-E,PPS,MT	: 	1879.0 	1845.2 	1790.8 	1721.2 	1748.0 	1676.2 	: 	: 	: 	: 	: 	: 	: 
C-E,PPS,NL	: 	: 	: 	3923.1 	3813.6 	3614.4 	3598.0 	3391.4 	3312.9 	3099.7 	2984.3 	2841.8 	2921.2 	: 
C-E,PPS,PL	: 	1581.5 	1397.9 	1311.4 	1279.2 	1247.1 	1239.4 	1182.7 	1135.5 	1128.2 	1032.6 	982.6 	892.4 	: 
C-E,PPS,PT	1647.2 	1630.2 	1600.2 	1544.5 	1454.7 	1396.9 	1316.7 	1274.0 	1232.0 	1196.5 	1138.0 	1135.0 	1103.1 	: 
C-E,PPS,RO	: 	809.3 	727.3 	665.8 	633.0 	564.1 	584.9 	591.0 	521.1 	476.3 	452.1 	454.7 	541.6 	: 
C-E,PPS,SE	: 	4136.0 	3836.7 	3770.7 	3651.8 	3427.7 	3303.6 	3208.7 	3157.5 	2843.7 	2719.4 	2592.2 	2453.0 	2227.6 
C-E,PPS,SI	: 	2117.0 	2053.3 	1976.5 	1879.7 	1819.9 	1799.2 	1710.5 	1639.2 	1696.6 	1616.5 	1522.5 	1401.3 	1316.5 
C-E,PPS,SK	: 	1440.3 	1301.6 	1214.3 	1155.4 	1091.4 	1108.7 	1033.9 	961.8 	933.5 	951.3 	925.2 	789.5 	: 
C-E,PPS,UK	: 	3702.4 	3741.5 	3633.6 	3575.5 	3390.2 	3334.9 	3263.4 	3100.8 	2840.4 	2732.9 	2645.7 	2487.6 	: 
C-F,EUR,AT	4136.0 	4093.0 	3987.0 	3929.0 	3832.0 	3747.0 	3655.0 	3556.0 	3461.0 	3402.0 	3295.4 	3250.0 	3297.1 	: 
C-F,EUR,BE	4480.1 	4359.2 	4157.9 	4052.7 	4001.5 	4034.0 	3975.9 	3791.9 	3607.9 	3371.1 	: 	: 	: 	: 
C-F,EUR,BG	: 	275.6 	241.7 	230.6 	221.7 	208.8 	201.1 	196.4 	186.6 	: 	: 	: 	: 	: 
C-F,EUR,CY	2480.1 	2350.0 	2247.4 	2151.4 	2000.5 	1905.5 	1785.2 	1694.8 	1629.1 	1499.0 	1458.5 	1400.5 	1304.6 	: 
C-F,EUR,CZ	: 	1062.5 	974.0 	877.7 	788.6 	732.8 	725.7 	613.4 	548.4 	493.3 	472.0 	427.8 	403.1 	340.1 
C-F,EUR,DE	: 	4176.0 	4136.0 	3997.0 	3969.0 	3861.0 	3746.0 	3664.0 	3555.0 	3394.0 	3326.0 	3251.0 	3175.0 	: 
