nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C-E,PPS,PL	: 	10.83 	9.53 	8.93 	8.74 	8.45 	8.42 	8.00 	7.57 	7.59 	6.98 	6.59 	5.99 	: 
C-E,PPS,PT	11.13 	11.02 	10.84 	10.57 	9.96 	9.65 	9.15 	8.89 	8.64 	8.35 	7.88 	7.78 	7.49 	: 
C-E,PPS,RO	: 	5.26 	4.74 	4.36 	4.13 	3.72 	3.95 	3.87 	3.45 	: 	: 	: 	: 	: 
C-E,PPS,SE	: 	30.05 	27.87 	27.39 	26.53 	24.21 	23.33 	22.66 	22.30 	20.16 	19.28 	18.38 	17.39 	15.79 
C-E,PPS,SI	: 	14.00 	13.72 	13.36 	13.01 	12.89 	12.67 	12.04 	11.55 	11.99 	11.42 	10.75 	9.90 	9.36 
C-E,PPS,SK	: 	10.19 	9.11 	8.46 	8.17 	8.01 	8.07 	7.30 	6.85 	6.61 	6.89 	6.16 	5.71 	: 
C-E,PPS,UK	: 	21.51 	21.74 	21.11 	23.04 	21.85 	21.59 	20.92 	19.85 	18.30 	17.49 	16.69 	15.95 	: 
C-F,EUR,AT	28.94 	28.07 	27.47 	27.34 	26.78 	26.24 	25.62 	24.71 	23.81 	23.52 	22.83 	22.60 	23.07 	: 
C-F,EUR,BE	35.84 	34.87 	33.26 	32.42 	32.01 	31.55 	31.10 	29.66 	28.22 	26.95 	26.17 	25.63 	25.80 	: 
C-F,EUR,BG	: 	1.87 	1.65 	1.58 	1.52 	1.45 	1.39 	1.37 	1.31 	: 	: 	: 	: 	: 
C-F,EUR,CH	33.54 	: 	32.58 	: 	32.08 	: 	33.44 	: 	29.57 	: 	: 	: 	: 	: 
C-F,EUR,CY	14.10 	13.28 	12.79 	12.26 	11.53 	10.89 	10.22 	9.68 	9.34 	8.53 	8.35 	8.00 	7.47 	: 
C-F,EUR,CZ	: 	7.50 	6.84 	6.18 	5.57 	5.26 	5.18 	4.41 	3.68 	3.29 	3.16 	2.88 	2.72 	2.36 
C-F,EUR,DE	: 	30.60 	30.30 	29.30 	29.10 	28.90 	28.20 	27.50 	26.60 	25.30 	24.80 	24.50 	24.10 	: 
C-F,EUR,DK	: 	33.91 	32.26 	30.97 	29.84 	29.40 	28.26 	27.13 	25.61 	24.70 	23.71 	22.58 	: 	: 
C-F,EUR,EE	7.56 	6.65 	5.38 	4.60 	4.08 	3.79 	3.45 	3.11 	2.79 	2.50 	2.44 	2.16 	1.88 	: 
C-F,EUR,EL	: 	: 	: 	: 	: 	12.94 	12.20 	11.48 	10.91 	10.58 	9.75 	9.75 	9.22 	8.68 
C-F,EUR,ES	: 	17.06 	16.37 	15.81 	15.34 	14.72 	13.98 	13.38 	14.50 	14.46 	14.31 	14.53 	15.37 	: 
C-F,EUR,FI	30.55 	29.00 	28.33 	27.65 	26.09 	25.70 	24.79 	23.49 	21.88 	20.98 	20.09 	19.97 	20.05 	: 
C-F,EUR,FR	32.19 	31.28 	30.46 	29.58 	28.58 	27.62 	26.90 	25.90 	24.79 	23.68 	23.07 	22.69 	22.25 	: 
C-F,EUR,HU	: 	6.57 	5.91 	5.82 	5.41 	4.90 	: 	: 	: 	: 	: 	: 	: 	: 
C-F,EUR,IT	: 	: 	: 	: 	: 	: 	19.33 	18.68 	: 	: 	: 	: 	: 	: 
C-F,EUR,LT	: 	5.17 	4.17 	3.44 	3.07 	2.99 	2.92 	2.73 	2.61 	2.31 	2.07 	1.83 	1.37 	: 
C-F,EUR,LU	28.10 	27.39 	26.71 	26.11 	25.24 	22.73 	21.80 	21.03 	20.60 	20.68 	20.06 	19.80 	19.93 	: 
