network_id,from_id,to_id,export_value,alpha,network_name
0,428,616,239936403,0.8482,Food and live animals
0,428,620,4089193,0.9591,Food and live animals
0,428,642,1073148,0.9691,Food and live animals
0,428,703,7696238,0.9643,Food and live animals
0,428,705,2760760,0.9713,Food and live animals
0,428,724,106892198,0.9328,Food and live animals
0,428,752,66369484,0.8818,Food and live animals
0,428,826,217113613,0.9654,Food and live animals
0,440,40,17364914,0.8278,Food and live animals
0,440,56,120206706,0.2626,Food and live animals
0,440,100,9615610,0.9008,Food and live animals
0,440,191,727958,0.9921,Food and live animals
0,440,196,906696,0.9902,Food and live animals
0,440,203,38980444,0.653,Food and live animals
0,440,208,68092419,0.4728,Food and live animals
0,440,233,145015262,0.1975,Food and live animals
0,440,246,48255753,0.5894,Food and live animals
0,440,251,106587410,0.3066,Food and live animals
0,440,276,259528420,0.0509,Food and live animals
0,440,300,20949688,0.796,Food and live animals
0,440,348,35521484,0.6784,Food and live animals
0,440,372,4522888,0.9521,Food and live animals
0,440,381,104752095,0.313,Food and live animals
0,440,428,443959218,0.0049,Food and live animals
0,440,442,319112,0.9993,Food and live animals
0,440,528,212777624,0.8885,Food and live animals
0,440,616,533443963,0.5428,Food and live animals
0,440,620,2672549,0.9174,Food and live animals
0,440,642,2968483,0.9417,Food and live animals
0,440,703,11237581,0.9656,Food and live animals
0,440,705,2118592,0.8653,Food and live animals
0,440,724,178105552,0.8921,Food and live animals
0,440,752,275027404,0.7845,Food and live animals
0,440,826,34439040,0.9094,Food and live animals
0,442,40,5988684,0.9294,Food and live animals
0,442,56,903458833,0.0,Food and live animals
0,442,100,680318,0.9917,Food and live animals
0,442,191,548986,0.9933,Food and live animals
0,442,203,1154952,0.986,Food and live animals
0,442,208,12961132,0.8533,Food and live animals
0,442,233,57462,0.9993,Food and live animals
0,442,246,93489,0.9989,Food and live animals
0,442,251,511907090,0.0008,Food and live animals
0,442,276,460014407,0.0018,Food and live animals
0,442,300,784483,0.9905,Food and live animals
0,442,348,2114582,0.9745,Food and live animals
0,442,372,4803631,0.943,Food and live animals
0,442,381,96594916,0.2993,Food and live animals
0,442,428,256527,0.9969,Food and live animals
0,442,440,54527,0.9993,Food and live animals
0,442,528,115481160,0.9525,Food and live animals
0,442,616,9274860,0.9894,Food and live animals
0,442,620,45686367,0.9847,Food and live animals
0,442,642,307573,0.9753,Food and live animals
0,442,703,75200,0.9821,Food and live animals
0,442,705,129937,0.9766,Food and live animals
0,442,724,24222562,0.9893,Food and live animals
0,442,752,4111846,0.9878,Food and live animals
0,442,826,10114611,0.9895,Food and live animals
0,470,40,8704029,0.6136,Food and live animals
0,470,56,25133909,0.2379,Food and live animals
0,470,100,1732624,0.908,Food and live animals
0,470,191,2477109,0.8711,Food and live animals
0,470,196,1919408,0.8986,Food and live animals
0,470,203,1148769,0.9381,Food and live animals
0,470,208,14825972,0.4328,Food and live animals
0,470,233,373946,0.9794,Food and live animals
0,470,246,267186,0.9853,Food and live animals
0,470,251,49542265,0.0544,Food and live animals
0,470,276,38606630,0.1065,Food and live animals
0,470,300,12263645,0.5012,Food and live animals
0,470,348,3677969,0.8144,Food and live animals
0,470,372,17155411,0.3785,Food and live animals
0,470,381,265451005,0.0,Food and live animals
0,470,428,394393,0.9783,Food and live animals
0,470,440,655372,0.9642,Food and live animals
0,470,442,90495,0.995,Food and live animals
0,470,528,110946130,0.9198,Food and live animals
0,470,616,10012698,0.9993,Food and live animals
0,470,620,3263906,0.8336,Food and live animals
0,470,642,9416449,0.5893,Food and live animals
0,470,703,337573,0.9814,Food and live animals
0,470,705,381855,0.9865,Food and live animals
0,470,724,68627367,0.7954,Food and live animals
0,470,752,2373496,0.9971,Food and live animals
0,470,826,72222783,0.782,Food and live animals
0,528,40,321408820,0.8172,Food and live animals
0,528,56,8237128113,0.0032,Food and live animals
0,528,100,202000119,0.881,Food and live animals
0,528,191,7003650,0.9956,Food and live animals
0,528,196,2677113,0.9983,Food and live animals
