id,name,year,cluster,fitness,gdp,gdp_aggr,labour_costs,wages,employment,education,complexity,ag1,name_ag1
60,Knitted or crocheted fabric,2008,,,,,,,,,1.0015958694930012,6.0,Manufactured goods
61,"Articles of apparel, accessories, knit or crochet",2008,,,,,,,,,0.5506818296273615,8.0,Miscellaneous manufactured articles
62,"Articles of apparel, accessories, not knit or crochet",2008,,,,,,,,,0.574379565745474,8.0,Miscellaneous manufactured articles
63,"Other made textile articles, sets, worn clothing etc",2008,,,,,,,,,0.8324058991691405,2.0,"Crude materials, inedible, except fuels"
64,"Footwear, gaiters and the like, parts thereof",2008,,,,,,,,,1.0970117015037817,8.0,Miscellaneous manufactured articles
65,Headgear and parts thereof,2008,,,,,,,,,1.4439511532042637,8.0,Miscellaneous manufactured articles
66,"Umbrellas, walking-sticks, seat-sticks, whips, etc",2008,,,,,,,,,3.1986555099123355,8.0,Miscellaneous manufactured articles
67,"Bird skin, feathers, artificial flowers, human hair",2008,,,,,,,,,2.378025574538541,8.0,Miscellaneous manufactured articles
68,"Stone, plaster, cement, asbestos, mica, etc articles",2008,,,,,,,,,1.0665113414727605,6.0,Manufactured goods
69,Ceramic products,2008,,,,,,,,,1.2729985600120843,6.0,Manufactured goods
70,Glass and glassware,2008,,,,,,,,,1.1175094874437044,6.0,Manufactured goods
71,"Pearls, precious stones, metals, coins, etc",2008,,,,,,,,,0.3777059144597367,9.0,Commodities and transactions not classified elsewhere
72,Iron and steel,2008,,,,,,,,,0.7066571277392043,6.0,Manufactured goods
73,Articles of iron or steel,2008,,,,,,,,,1.108779389267014,6.0,Manufactured goods
74,Copper and articles thereof,2008,,,,,,,,,0.6438515852613599,6.0,Manufactured goods
75,Nickel and articles thereof,2008,,,,,,,,,1.4533045893246568,6.0,Manufactured goods
76,Aluminium and articles thereof,2008,,,,,,,,,0.3642915888852229,6.0,Manufactured goods
78,Lead and articles thereof,2008,,,,,,,,,0.5395171024937442,6.0,Manufactured goods
79,Zinc and articles thereof,2008,,,,,,,,,0.7305788855357578,6.0,Manufactured goods
80,Tin and articles thereof,2008,,,,,,,,,0.5027642313582854,6.0,Manufactured goods
81,"Other base metals, cermets, articles thereof",2008,,,,,,,,,1.326652129406502,6.0,Manufactured goods
82,"Tools, implements, cutlery, etc of base metal",2008,,,,,,,,,1.7222713537965526,6.0,Manufactured goods
83,Miscellaneous articles of base metal,2008,,,,,,,,,1.4841043943801693,6.0,Manufactured goods
84,"Nuclear reactors, boilers, machinery, etc",2008,,,,,,,,,1.7421110793145367,7.0,Machinery and transport equipment
85,"Electrical, electronic equipment",2008,,,,,,,,,1.0828117769308452,7.0,Machinery and transport equipment
86,"Railway, tramway locomotives, rolling stock, equipment",2008,,,,,,,,,1.1302770504901536,7.0,Machinery and transport equipment
87,"Vehicles other than railway, tramway",2008,,,,,,,,,1.4411214263867962,7.0,Machinery and transport equipment
88,"Aircraft, spacecraft, and parts thereof",2008,,,,,,,,,1.938967494703864,7.0,Machinery and transport equipment
89,"Ships, boats and other floating structures",2008,,,,,,,,,1.124582451645468,7.0,Machinery and transport equipment
90,"Optical, photo, technical, medical, etc apparatus",2008,,,,,,,,,1.5805762849706093,8.0,Miscellaneous manufactured articles
91,Clocks and watches and parts thereof,2008,,,,,,,,,0.9993783069665392,8.0,Miscellaneous manufactured articles
92,"Musical instruments, parts and accessories",2008,,,,,,,,,1.3462211427744208,8.0,Miscellaneous manufactured articles
93,"Arms and ammunition, parts and accessories thereof",2008,,,,,,,,,1.2119135360651745,8.0,Miscellaneous manufactured articles
94,"Furniture, lighting, signs, prefabricated buildings",2008,,,,,,,,,1.1010495295166698,8.0,Miscellaneous manufactured articles
95,"Toys, games, sports requisites",2008,,,,,,,,,2.155316612373482,8.0,Miscellaneous manufactured articles
96,Miscellaneous manufactured articles,2008,,,,,,,,,1.7189347494775828,7.0,Machinery and transport equipment
97,"Works of art, collectors pieces and antiques",2008,,,,,,,,,2.3992380203706025,8.0,Miscellaneous manufactured articles
99,Commodities not elsewhere specified,2008,,,,,,,,,1.3378896567792318,9.0,Commodities and transactions not classified elsewhere
AT,Austria,2008,1.0,1.2644621111083458,35300.0,293761900000.0,8.6,22.2,73.8,80.9,,,
BE,Belgium,2008,0.0,3.4549246246929743,33100.0,354065900000.0,,,68.0,69.6,,,
BG,Bulgaria,2008,0.0,0.17095769542714062,4900.0,37200100000.0,1.2,3.3,70.7,77.5,,,
CY,Cyprus,2008,0.0,0.01065991627524368,24200.0,19006200000.0,,,76.5,73.1,,,
CZ,Czechia,2008,1.0,0.941629009149295,15500.0,161313100000.0,3.5,8.7,72.4,90.9,,,
DE,Germany,2008,1.0,8.88586921540119,31700.0,2561740000000.0,10.8,25.1,74.0,85.3,,,
DK,Denmark,2008,0.0,0.9661696377930826,44000.0,241613500000.0,5.1,33.7,79.7,73.8,,,
EE,Estonia,2008,0.0,0.092170556397835,12300.0,16517300000.0,2.5,6.9,77.1,88.4,,,
EL,Greece,2008,0.0,0.2390694926802428,21800.0,241990400000.0,4.2,13.7,66.3,61.3,,,
ES,Spain,2008,1.0,2.1661047133135187,24300.0,1116225000000.0,6.7,16.7,68.5,51.1,,,
FI,Finland,2008,0.0,0.6059657662502531,36500.0,193711000000.0,6.5,22.9,75.8,81.1,,,
FR,France,2008,1.0,4.703047499239592,31000.0,1992380000000.0,11.3,22.1,,69.5,,,
HR,Croatia,2008,0.0,0.10900766118190487,11200.0,48138800000.0,2.0,10.4,64.9,76.7,,,
HU,Hungary,2008,1.0,0.42297101449665614,10800.0,108121500000.0,2.6,6.3,61.5,79.6,,,
IE,Ireland,2008,0.0,0.7522467346334005,41800.0,187769100000.0,5.2,24.4,73.5,70.4,,,
IT,Italy,2008,1.0,4.811651973877598,27600.0,1632150800000.0,12.3,23.9,62.9,53.3,,,
LT,Lithuania,2008,0.0,0.1454078512651968,10200.0,32696300000.0,2.0,5.5,72.0,90.4,,,
LU,Luxembourg,2008,1.0,0.11367705146625548,77900.0,38128600000.0,,,68.8,67.9,,,
LV,Latvia,2008,1.0,0.06190762982759417,11200.0,24354800000.0,1.3,4.9,75.4,85.9,,,
MT,Malta,2008,0.0,0.013539828333859813,15000.0,6128700000.0,,,59.2,27.8,,,
NL,Netherlands,2008,0.0,3.510085783733583,39400.0,647198000000.0,11.9,45.2,76.9,71.4,,,
PL,Poland,2008,1.0,1.1462506867919966,9600.0,366182300000.0,3.0,10.4,65.0,87.1,,,
PT,Portugal,2008,1.0,1.0495313663241457,16900.0,178872600000.0,2.3,9.1,73.1,28.1,,,
RO,Romania,2008,0.0,0.35919018263264224,7100.0,146590600000.0,3.1,6.0,64.4,75.3,,,
SE,Sweden,2008,1.0,0.9044807610028957,38300.0,352741600000.0,11.6,23.9,80.4,80.0,,,
SI,Slovenia,2008,1.0,0.1854240040353128,18800.0,37951200000.0,4.5,15.5,73.0,82.0,,,
SK,Slovakia,2008,1.0,0.3227921919093051,12200.0,66002800000.0,2.1,5.6,68.8,89.9,,,
UK,United Kingdom,2008,1.0,3.492401392007456,32100.0,1983970500000.0,6.7,30.3,75.2,73.4,,,
1,Live animals,2009,,,,,,,,,0.5848395156080386,0.0,Food and live animals
2,Meat and edible meat offal,2009,,,,,,,,,0.5847673059432601,0.0,Food and live animals
3,"Fish, crustaceans, molluscs, aquatic invertebrates nes",2009,,,,,,,,,0.09714275550139058,0.0,Food and live animals
4,"Dairy products, eggs, honey, edible animal product nes",2009,,,,,,,,,0.4879471693630095,0.0,Food and live animals
5,"Products of animal origin, nes",2009,,,,,,,,,0.7626767503889023,2.0,"Crude materials, inedible, except fuels"
6,"Live trees, plants, bulbs, roots, cut flowers etc",2009,,,,,,,,,0.5383060364327606,2.0,"Crude materials, inedible, except fuels"
7,Edible vegetables and certain roots and tubers,2009,,,,,,,,,0.4197337345987809,0.0,Food and live animals
8,"Edible fruit, nuts, peel of citrus fruit, melons",2009,,,,,,,,,0.2071689899362968,0.0,Food and live animals
9,"Coffee, tea, mate and spices",2009,,,,,,,,,0.09205387362304447,0.0,Food and live animals
10,Cereals,2009,,,,,,,,,0.400246202321578,0.0,Food and live animals
11,"Milling products, malt, starches, inulin, wheat gluten",2009,,,,,,,,,0.2405602896589406,5.0,"Chemicals and related products, n.e.s."
12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",2009,,,,,,,,,0.4856893585536199,0.0,Food and live animals
13,"Lac, gums, resins, vegetable saps and extracts nes",2009,,,,,,,,,1.0894305117043672,2.0,"Crude materials, inedible, except fuels"
14,"Vegetable plaiting materials, vegetable products nes",2009,,,,,,,,,0.4067076373068599,2.0,"Crude materials, inedible, except fuels"
15,"Animal,vegetable fats and oils, cleavage products, etc",2009,,,,,,,,,0.4110522847707459,4.0,"Animal and vegetable oils, fats and waxes"
16,"Meat, fish and seafood food preparations nes",2009,,,,,,,,,0.2681106583299359,0.0,Food and live animals
17,Sugars and sugar confectionery,2009,,,,,,,,,0.14362882031803448,0.0,Food and live animals
18,Cocoa and cocoa preparations,2009,,,,,,,,,0.1126815740429198,0.0,Food and live animals
19,"Cereal, flour, starch, milk preparations and products",2009,,,,,,,,,0.7657907057508543,0.0,Food and live animals
20,"Vegetable, fruit, nut, etc food preparations",2009,,,,,,,,,0.3519943020270093,0.0,Food and live animals
21,Miscellaneous edible preparations,2009,,,,,,,,,0.5636468613026249,0.0,Food and live animals
22,"Beverages, spirits and vinegar",2009,,,,,,,,,0.3571462981937514,0.0,Food and live animals
23,"Residues, wastes of food industry, animal fodder",2009,,,,,,,,,0.4646333066788982,0.0,Food and live animals
24,Tobacco and manufactured tobacco substitutes,2009,,,,,,,,,0.16749614298706078,1.0,Beverages and tobacco
25,"Salt, sulphur, earth, stone, plaster, lime and cement",2009,,,,,,,,,0.2871513589727377,2.0,"Crude materials, inedible, except fuels"
26,"Ores, slag and ash",2009,,,,,,,,,0.3462403552529529,2.0,"Crude materials, inedible, except fuels"
27,"Mineral fuels, oils, distillation products, etc",2009,,,,,,,,,0.19374992394156426,3.0,"Mineral fuels, lubricants and related materials"
28,"Inorganic chemicals, precious metal compound, isotopes",2009,,,,,,,,,0.5376325477554996,5.0,"Chemicals and related products, n.e.s."
29,Organic chemicals,2009,,,,,,,,,1.770755726781706,5.0,"Chemicals and related products, n.e.s."
30,Pharmaceutical products,2009,,,,,,,,,1.2807889275753777,5.0,"Chemicals and related products, n.e.s."
31,Fertilizers,2009,,,,,,,,,0.3812153223787619,5.0,"Chemicals and related products, n.e.s."
32,"Tanning, dyeing extracts, tannins, derivs,pigments etc",2009,,,,,,,,,1.3797711503221723,8.0,Miscellaneous manufactured articles
